Year,Month,Day,Team1,Team2,Type,Location,Match_ID
2026,6,11,CZ,KR,WC,MX,1
2026,6,11,MX,ZA,WC,MX,2
2026,6,12,CA,BA,WC,CA,3
2026,6,12,US,PY,WC,US,4
2026,6,13,AU,TR,WC,CA,5
2026,6,13,BR,MA,WC,US,6
2026,6,13,HT,SQ,WC,US,7
2026,6,13,QA,CH,WC,US,8
2026,6,14,CW,DE,WC,US,9
2026,6,14,EC,CI,WC,US,10
2026,6,14,JP,NL,WC,US,11
2026,6,14,SE,TN,WC,MX,12
2026,6,15,BE,EG,WC,US,13
2026,6,15,CV,ES,WC,US,14
2026,6,15,IR,NZ,WC,US,15
2026,6,15,SA,UY,WC,US,16
2026,6,16,DZ,AR,WC,US,17
2026,6,16,AT,JO,WC,US,18
2026,6,16,FR,SN,WC,US,19
2026,6,16,IQ,NO,WC,US,20
2026,6,17,CO,UZ,WC,MX,21
2026,6,17,HR,EN,WC,US,22
2026,6,17,CD,PT,WC,US,23
2026,6,17,GH,PA,WC,CA,24
2026,6,18,BA,CH,WC,US,25
2026,6,18,CA,QA,WC,CA,26
2026,6,18,CZ,ZA,WC,US,27
2026,6,18,MX,KR,WC,MX,28
2026,6,19,BR,HT,WC,US,29
2026,6,19,MA,SQ,WC,US,30
2026,6,19,PY,TR,WC,US,31
2026,6,19,US,AU,WC,US,32
2026,6,20,CW,EC,WC,US,33
2026,6,20,DE,CI,WC,CA,34
2026,6,20,JP,TN,WC,MX,35
2026,6,20,NL,SE,WC,US,36
2026,6,21,BE,IR,WC,US,37
2026,6,21,CV,UY,WC,US,38
2026,6,21,EG,NZ,WC,CA,39
2026,6,21,SA,ES,WC,US,40
2026,6,22,DZ,JO,WC,US,41
2026,6,22,AR,AT,WC,US,42
2026,6,22,FR,IQ,WC,US,43
2026,6,22,NO,SN,WC,US,44
2026,6,23,CO,CD,WC,MX,45
2026,6,23,HR,PA,WC,CA,46
2026,6,23,EN,GH,WC,US,47
2026,6,23,PT,UZ,WC,US,48
2026,6,24,BA,QA,WC,US,49
2026,6,24,BR,SQ,WC,US,50
2026,6,24,CA,CH,WC,CA,51
2026,6,24,HT,MA,WC,US,52
2026,6,24,MX,CZ,WC,MX,53
2026,6,24,ZA,KR,WC,MX,54
2026,6,25,AU,PY,WC,US,55
2026,6,25,CW,CI,WC,US,56
2026,6,25,EC,DE,WC,US,57
2026,6,25,JP,SE,WC,US,58
2026,6,25,NL,TN,WC,US,59
2026,6,25,US,TR,WC,US,60
2026,6,26,BE,NZ,WC,CA,61
2026,6,26,CV,SA,WC,US,62
2026,6,26,EG,IR,WC,US,63
2026,6,26,FR,NO,WC,US,64
2026,6,26,IQ,SN,WC,CA,65
2026,6,26,ES,UY,WC,MX,66
2026,6,27,DZ,AT,WC,US,67
2026,6,27,AR,JO,WC,US,68
2026,6,27,CO,PT,WC,US,69
2026,6,27,HR,GH,WC,US,70
2026,6,27,CD,UZ,WC,US,71
2026,6,27,EN,PA,WC,US,72
2026,06,28,RU_GrpA,RU_GrpB,WC_R32,US,73
2026,06,29,W_GrpE,3rd_ABCDEF,WC_R32,US,74
2026,06,29,W_GrpF,RU_GrpC,WC_R32,MX,75
2026,06,29,W_GrpC,RU_GrpF,WC_R32,US,76
2026,06,30,W_GrpI,3rd_CDFGH,WC_R32,US,77
2026,06,30,RU_GrpE,RU_GrpI,WC_R32,US,78
2026,06,30,W_GrpA,3rd_CEFHI,WC_R32,MX,79
2026,07,01,W_GrpL,3rd_EHIJK,WC_R32,US,80
2026,07,01,W_GrpD,3rd_BEFIJ,WC_R32,US,81
2026,07,01,W_GrpG,3rd_AEHIJ,WC_R32,US,82
2026,07,02,RU_GrpK,RU_GrpL,WC_R32,CA,83
2026,07,02,W_GrpH,RU_GrpJ,WC_R32,US,84
2026,07,02,W_GrpB,3rd_EFGIJ,WC_R32,CA,85
2026,07,03,W_GrpJ,RU_GrpH,WC_R32,US,86
2026,07,03,W_GrpK,3rd_DEIJL,WC_R32,US,87
2026,07,03,RU_GrpD,RU_GrpG,WC_R32,US,88
2026,07,04,W_Match74,W_Match77,WC_R16,US,89
2026,07,04,W_Match73,W_Match75,WC_R16,US,90
2026,07,05,W_Match76,W_Match78,WC_R16,US,91
2026,07,05,W_Match79,W_Match80,WC_R16,MX,92
2026,07,06,W_Match83,W_Match84,WC_R16,US,93
2026,07,06,W_Match81,W_Match82,WC_R16,US,94
2026,07,07,W_Match86,W_Match88,WC_R16,US,95
2026,07,07,W_Match85,W_Match87,WC_R16,CA,96
2026,07,09,W_Match89,W_Match90,WC_QF,US,97
2026,07,10,W_Match93,W_Match94,WC_QF,US,98
2026,07,11,W_Match91,W_Match92,WC_QF,US,99
2026,07,11,W_Match95,W_Match96,WC_QF,US,100
2026,07,14,W_Match97,W_Match98,WC_SF,US,101
2026,07,15,W_Match99,W_Match100,WC_SF,US,102
2026,07,18,L_Match101,L_Match102,WC_3rd,US,103
2026,07,19,W_Match101,W_Match102,WC_F,US,104
